player_name,team,position,games_played,targets,receptions,catch_rate,rec_yards,yards_per_reception,yards_per_target,rec_tds,first_downs,longest_rec,yards_after_catch,fumbles,player_id
Calvin Ridley,TEN,WR,16,125,76,60.8,1034,13.6,8.3,6,50,66,413.6,1,28
George Pickens,PIT,WR,15,121,72,59.5,1067,14.8,8.8,7,48,71,426.8,2,29
Courtland Sutton,DEN,WR,17,130,81,62.3,1045,12.9,8.0,6,52,60,418.0,0,30
Christian Watson,GB,WR,14,102,62,60.8,943,15.2,9.2,8,42,78,377.2,1,31
Romeo Doubs,GB,WR,16,118,76,64.4,923,12.1,7.8,5,47,51,369.2,0,32
Jaxon Smith-Njigba,SEA,WR,17,134,91,67.9,1087,11.9,8.1,5,56,48,434.8,0,33
Chris Godwin,TB,WR,12,104,72,69.2,876,12.2,8.4,5,44,50,350.4,0,34
DeAndre Hopkins,TEN,WR,16,118,73,61.9,879,12.0,7.4,5,43,52,351.6,0,35
Quentin Johnston,LAC,WR,17,120,71,59.2,956,13.5,8.0,6,44,68,382.4,2,36
Josh Downs,IND,WR,15,112,78,69.6,889,11.4,7.9,4,46,42,355.6,0,37
Khalil Shakir,BUF,WR,17,116,79,68.1,934,11.8,8.1,5,48,47,373.6,0,38
Darnell Mooney,ATL,WR,17,121,74,61.2,978,13.2,8.1,6,45,64,391.2,1,39
Brian Thomas Jr.,JAX,WR,17,138,84,60.9,1198,14.3,8.7,9,56,74,479.2,1,40
Travis Kelce,KC,TE,17,136,93,68.4,1045,11.2,7.7,6,58,42,418.0,1,41
George Kittle,SF,TE,15,107,75,70.1,945,12.6,8.8,7,47,56,378.0,1,42
T.J. Hockenson,MIN,TE,14,108,76,70.4,867,11.4,8.0,5,46,44,346.8,0,43
Mark Andrews,BAL,TE,16,117,78,66.7,923,11.8,7.9,8,48,51,369.2,1,44
Sam LaPorta,DET,TE,17,124,86,69.4,945,11.0,7.6,6,52,39,378.0,0,45
Dallas Goedert,PHI,TE,14,95,67,70.5,756,11.3,8.0,5,38,43,302.4,0,46
David Njoku,CLE,TE,16,110,74,67.3,834,11.3,7.6,5,42,48,333.6,1,47
Evan Engram,JAX,TE,15,109,78,71.6,812,10.4,7.5,4,43,37,324.8,0,48
Jake Ferguson,DAL,TE,16,104,72,69.2,789,11.0,7.6,5,41,41,315.6,0,49
Pat Freiermuth,PIT,TE,17,106,73,68.9,798,10.9,7.5,6,42,38,319.2,0,50
Cole Kmet,CHI,TE,17,112,77,68.8,845,11.0,7.5,7,45,43,338.0,1,51
Dalton Kincaid,BUF,TE,17,118,82,69.5,878,10.7,7.4,5,47,36,351.2,0,52
Trey McBride,ARI,TE,17,131,94,71.8,1012,10.8,7.7,5,56,41,404.8,0,53
Kyle Pitts,ATL,TE,16,102,67,65.7,812,12.1,8.0,4,38,52,324.8,1,54
Jonnu Smith,MIA,TE,16,98,65,66.3,756,11.6,7.7,5,35,49,302.4,0,55
Dalton Schultz,HOU,TE,17,96,64,66.7,698,10.9,7.3,4,34,38,279.2,0,56
Chigoziem Okonkwo,TEN,TE,16,89,58,65.2,712,12.3,8.0,4,32,55,284.8,1,57
Tyler Conklin,NYJ,TE,17,94,63,67.0,678,10.8,7.2,3,33,35,271.2,0,58
Michael Mayer,LV,TE,16,82,56,68.3,612,10.9,7.5,3,30,40,244.8,0,59
Cade Otton,TB,TE,17,101,70,69.3,756,10.8,7.5,5,38,42,302.4,0,60
