player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Jonah Jackson,37070,G,CHI,19,0,6,65.8,2,30,730,100.0,100.0,97.4,0,35,3,772,772,56.1,2,21,318,100.0,100.0,95.4,26,3,338,338
Aireontae Ersery,129649,T,HST,18,3,13,65.4,11,30,699,100.0,100.0,95.9,5,49,8,753,753,55.3,7,21,320,100.0,100.0,93.7,34,6,344,344
Alaric Jackson,40972,T,LA,19,1,26,75.8,10,29,709,100.0,100.0,96.7,2,43,4,752,752,74.6,4,19,313,100.0,100.0,95.4,26,3,332,332
Jake Andrews,81868,C,HST,18,0,13,62.4,4,14,692,100.0,100.0,98.6,3,19,1,745,745,59.9,1,11,308,100.0,100.0,97.7,13,1,333,333
Creed Humphrey,59996,C,KC,17,1,16,84.1,2,5,692,100.0,100.0,99.3,1,8,1,742,742,80.5,1,4,285,100.0,100.0,99.1,5,0,314,314
Darnell Wright,98480,T,CHI,18,0,6,74.6,3,18,698,100.0,100.0,98.1,6,24,3,740,740,72.0,2,12,300,100.0,100.0,97.0,16,2,320,320
Colton McKivitz,29314,T,SF,19,0,28,72.6,8,26,704,100.0,100.0,97.0,2,38,4,740,740,66.0,7,21,367,100.0,100.0,95.4,31,3,381,381
Dominick Puni,163815,G,SF,19,0,28,63.3,1,33,703,100.0,100.0,97.3,2,36,2,739,739,60.9,1,27,367,100.0,100.0,95.9,29,1,381,381
Orlando Brown Jr.,46227,T,CIN,17,0,7,62.6,10,27,691,100.0,100.0,96.0,2,46,9,733,733,52.7,8,24,362,100.0,100.0,94.2,37,5,384,384
Ted Karras,10855,C,CIN,17,0,7,70.7,2,16,691,100.0,100.0,98.6,2,19,1,733,733,72.2,1,11,362,100.0,100.0,98.1,13,1,384,384
Kingsley Suamataia,146558,G,KC,17,1,16,65.7,8,24,676,100.0,100.0,97.2,3,35,3,724,724,53.2,5,17,280,100.0,100.0,95.0,25,3,307,307
Terence Steele,39461,T,DAL,17,2,9,54.9,9,37,664,100.0,100.0,95.6,3,52,6,722,722,46.0,6,29,283,100.0,100.0,92.0,40,5,318,318
O'Cyrus Torrence,102821,G,BUF,19,1,4,64.4,1,32,678,100.0,100.0,97.1,2,36,3,716,716,44.3,1,29,287,100.0,100.0,93.7,33,3,308,308
Zion Johnson,99681,G,LAC,17,1,27,60.1,7,17,676,100.0,100.0,97.5,1,29,5,708,708,52.7,3,12,314,100.0,100.0,96.3,19,4,336,336
Graham Barton,122367,C,TB,17,2,30,52.9,4,27,647,100.0,100.0,96.8,5,36,5,701,701,33.0,4,20,308,100.0,100.0,94.5,29,5,338,338
Tyler Smith,98385,G,DAL,16,2,9,65.4,0,23,641,100.0,100.0,97.7,5,26,3,700,700,59.2,0,11,284,100.0,100.0,97.0,14,3,320,320
Bradley Bozeman,27934,C,LAC,17,1,27,45.6,6,27,667,100.0,100.0,97.1,2,36,3,699,699,46.5,5,13,305,100.0,100.0,96.7,19,1,327,327
Tytus Howard,25472,T,HST,18,2,13,76.7,1,25,643,100.0,100.0,98.0,2,26,0,696,696,72.1,1,16,296,100.0,100.0,97.1,17,0,322,322
Amarius Mims,146719,T,CIN,17,1,7,66.6,4,27,654,100.0,100.0,97.0,2,35,4,694,694,64.5,3,25,341,100.0,100.0,95.0,31,3,362,362
Peter Skoronski,129737,G,TEN,17,1,31,84.5,1,20,651,100.0,100.0,98.1,2,23,2,694,694,76.7,1,18,316,100.0,100.0,96.4,21,2,331,331
Joel Bitonio,8670,G,CLV,17,0,8,75.7,1,28,642,100.0,100.0,97.4,0,31,2,686,686,71.1,1,21,346,100.0,100.0,96.2,24,2,370,370
Ezra Cleveland,41973,G,JAX,17,2,15,71.4,3,19,645,100.0,100.0,97.7,3,26,4,684,684,63.1,2,13,335,100.0,100.0,96.6,19,4,357,357
Kelvin Banks Jr.,163839,T,NO,17,2,20,70.0,7,34,636,99.8,99.9,96.0,5,46,5,680,681,65.2,6,26,308,100.0,100.0,93.5,36,4,331,331
David Edwards,35941,G,BUF,18,0,4,75.0,1,27,643,100.0,100.0,97.2,0,32,4,679,679,67.2,1,19,282,100.0,100.0,95.4,23,3,302,302
Luke Wattenberg,41024,C,DEN,16,2,10,71.0,3,12,640,100.0,100.0,98.8,3,15,0,678,678,61.4,2,8,281,100.0,100.0,98.2,10,0,296,296
Greg Van Roten,7746,G,NYG,17,0,21,70.1,1,22,625,100.0,100.0,97.7,0,26,3,678,678,59.1,1,18,277,100.0,100.0,95.8,21,2,306,306
Troy Fautanu,100521,T,PIT,18,1,25,69.4,5,23,634,100.0,100.0,97.3,1,31,3,673,673,63.1,3,19,246,100.0,100.0,94.7,24,2,263,263
Mason McCormick,78326,G,PIT,18,0,25,72.3,2,20,634,100.0,100.0,97.5,0,27,5,673,673,68.9,1,12,246,100.0,100.0,96.5,15,2,263,263
Zach Frazier,123419,C,PIT,18,1,25,75.8,3,7,634,100.0,100.0,99.1,1,11,1,673,673,64.6,3,6,246,100.0,100.0,97.8,10,1,263,263
Connor McGovern,41714,C,BUF,18,1,4,70.8,3,15,634,100.0,100.0,98.6,2,18,0,670,670,68.0,1,11,277,100.0,100.0,97.8,12,0,297,297
Trent Williams,5529,T,SF,18,0,28,80.3,10,26,635,100.0,100.0,96.5,2,40,4,668,668,75.2,5,19,329,100.0,100.0,95.4,27,3,342,342
Abraham Lucas,60218,T,SEA,20,1,29,72.8,2,28,624,100.0,100.0,97.0,2,34,4,663,663,68.2,1,21,261,100.0,100.0,94.6,25,3,275,275
Anthony Bradford,99103,G,SEA,20,0,29,32.3,6,27,622,100.0,100.0,96.5,2,38,5,661,661,24.0,5,16,262,100.0,100.0,94.8,24,3,276,276
Grey Zabel,125314,G,SEA,20,0,29,59.2,5,26,616,100.0,100.0,97.2,0,33,2,654,654,54.2,3,17,255,100.0,100.0,95.3,22,2,268,268
Jon Runyan,36661,G,NYG,16,1,21,60.6,5,24,606,100.0,100.0,97.3,3,31,2,653,653,44.7,3,17,265,100.0,100.0,95.5,22,2,288,288
Jake Brendel,11117,C,SF,17,1,28,62.5,5,22,618,100.0,100.0,97.8,2,27,0,652,652,64.2,2,12,323,100.0,100.0,97.8,14,0,336,336
Dion Dawkins,11818,T,BUF,17,0,4,79.1,2,33,613,100.0,100.0,96.0,1,42,7,649,649,69.6,1,25,278,100.0,100.0,92.8,33,7,298,298
Tate Ratledge,124034,G,DET,17,1,11,58.5,9,13,620,100.0,100.0,97.9,3,24,2,648,648,49.4,6,8,267,100.0,100.0,97.0,15,1,282,282
Jared Wilson,146717,G,NE,17,0,19,63.6,7,26,615,100.0,100.0,96.0,0,41,8,646,646,59.3,5,21,318,100.0,100.0,94.0,32,6,339,339
Anton Harrison,122929,T,JAX,16,0,15,76.7,3,31,604,100.0,100.0,97.0,2,35,1,643,643,72.0,3,21,317,100.0,100.0,95.9,25,1,340,340
Josh Myers,59992,C,NYJ,17,1,22,62.9,4,21,608,100.0,100.0,97.5,2,28,3,640,640,53.5,3,16,326,100.0,100.0,96.5,21,2,342,342
Armand Membou,125008,T,NYJ,17,2,22,73.8,1,24,607,100.0,100.0,96.6,4,33,8,639,639,68.8,0,19,326,100.0,100.0,94.9,26,7,342,342
DJ Glaze,129511,T,LV,17,2,23,63.3,6,32,600,100.0,100.0,95.2,2,48,10,639,639,55.5,6,27,306,100.0,100.0,92.0,41,8,332,332
Joe Tippmann,101568,G,NYJ,17,0,22,69.0,5,18,607,100.0,100.0,97.1,2,29,6,639,639,55.0,4,15,326,100.0,100.0,95.2,25,6,342,342
Damien Lewis,81532,G,CAR,17,1,5,79.3,3,12,595,100.0,100.0,98.6,2,16,1,638,638,72.3,2,9,282,100.0,100.0,97.7,12,1,310,310
Jermaine Eluemunor,11914,T,NYG,16,2,21,76.7,3,12,585,100.0,100.0,98.0,5,19,4,638,638,76.0,3,4,257,100.0,100.0,97.1,11,4,286,286
Quenton Nelson,12954,G,IND,17,0,14,73.2,2,12,593,100.0,100.0,98.7,0,15,1,637,637,55.2,2,10,256,100.0,100.0,97.3,13,1,277,277
Will Campbell,157106,T,NE,17,1,19,64.8,7,29,604,100.0,100.0,95.5,2,45,9,636,636,56.8,5,21,297,100.0,100.0,92.6,35,9,317,317
Ed Ingram,59819,G,HST,16,0,13,52.4,4,21,587,100.0,100.0,97.0,2,30,5,635,635,38.3,3,17,271,100.0,100.0,94.8,24,4,294,294
Olumuyiwa Fashanu,129777,T,NYJ,17,1,22,74.5,5,28,604,100.0,100.0,96.3,2,39,6,634,634,68.6,3,24,323,100.0,100.0,94.9,30,3,339,339
Tyler Booker,157001,G,DAL,14,1,9,62.4,6,16,575,100.0,100.0,97.6,4,25,3,631,631,59.8,3,10,252,100.0,100.0,96.6,15,2,285,285
Dylan Fairchild,146716,G,CIN,15,0,7,67.5,5,24,595,100.0,100.0,97.2,2,31,2,629,629,55.5,5,20,318,100.0,100.0,95.4,27,2,338,338
Elijah Wilkinson,46238,T,ATL,17,1,2,61.0,9,31,589,100.0,100.0,95.6,2,46,6,627,627,59.4,5,25,312,100.0,100.0,93.6,35,5,328,328
Ryan Neuzil,41123,C,ATL,17,0,2,59.3,4,9,589,100.0,100.0,98.7,2,14,1,627,627,60.0,3,4,312,100.0,100.0,98.6,8,1,328,328
Tyler Steen,81921,G,PHI,18,0,24,75.4,1,34,591,100.0,100.0,96.7,3,37,2,626,626,69.4,1,24,298,100.0,100.0,95.5,26,1,316,316
Josh Conerly Jr.,163291,T,WAS,17,4,32,57.8,3,32,565,100.0,100.0,95.5,6,43,8,624,624,47.1,3,21,232,100.0,100.0,91.8,31,7,262,262
Chris Lindstrom,46692,G,ATL,17,1,2,62.3,8,35,585,100.0,100.0,96.2,1,44,1,623,623,52.9,5,30,310,100.0,100.0,94.0,36,1,326,326
Rasheed Walker,81798,T,GB,17,2,12,69.3,3,32,588,100.0,100.0,96.2,5,40,5,621,621,69.4,1,21,259,100.0,100.0,93.8,27,5,274,274
Walker Little,52287,T,JAX,16,1,15,63.5,6,35,579,100.0,100.0,94.9,2,50,9,620,620,58.1,4,23,305,100.0,100.0,93.6,33,6,329,329
Dan Moore Jr.,60120,T,TEN,16,4,31,62.5,7,33,585,99.8,99.8,95.2,5,48,8,620,621,54.6,5,24,282,100.0,100.0,92.7,35,6,294,294
John Simpson,41715,G,NYJ,17,0,22,62.0,5,19,587,100.0,100.0,97.1,5,29,5,618,618,51.0,4,15,313,100.0,100.0,95.7,23,4,329,329
Robert Hainsey,59980,C,JAX,16,0,15,55.8,3,21,571,100.0,100.0,97.4,1,27,3,613,613,33.9,2,17,291,100.0,100.0,95.7,22,3,314,314
Will Fries,41530,G,MIN,17,0,18,62.9,4,30,574,100.0,100.0,96.5,2,37,3,612,612,44.0,3,25,276,100.0,100.0,93.8,31,3,295,295
Steve Avila,77319,G,LA,16,1,26,69.7,6,11,576,100.0,100.0,98.2,2,19,2,609,609,58.4,6,6,258,100.0,100.0,96.9,14,2,272,272
Jake Matthews,8641,T,ATL,17,0,2,82.4,9,24,572,99.8,99.8,96.1,1,39,6,609,610,76.0,8,19,306,100.0,100.0,94.0,32,5,321,321
Lloyd Cushenberry III,41924,C,TEN,15,1,31,65.5,4,15,570,100.0,100.0,97.3,2,25,6,608,608,66.6,2,9,282,100.0,100.0,96.3,16,5,296,296
Kevin Dotson,46735,G,LA,17,0,26,66.8,4,15,573,100.0,100.0,97.8,2,22,3,608,608,63.7,3,7,243,100.0,100.0,97.1,12,2,258,258
Taylor Moton,11819,T,CAR,16,0,5,78.0,4,16,565,100.0,100.0,97.7,2,23,3,605,605,74.1,3,12,272,100.0,100.0,96.1,18,3,297,297
Matt Goncalves,99680,G,IND,16,0,14,62.7,10,22,564,100.0,100.0,96.8,0,34,2,603,603,59.1,7,14,239,100.0,100.0,95.2,22,1,258,258
Jordan Mailata,66916,T,PHI,17,1,24,82.3,4,22,566,99.8,99.8,97.3,2,28,2,601,602,80.0,2,16,284,100.0,100.0,96.1,20,2,302,302
Penei Sewell,81788,T,DET,16,0,11,80.3,6,11,573,100.0,100.0,98.2,0,19,2,601,601,77.4,4,6,250,100.0,100.0,97.6,11,1,265,265
Kevin Zeitler,7032,G,TEN,16,0,31,75.4,2,10,553,100.0,100.0,98.2,2,16,4,590,590,66.6,1,9,276,100.0,100.0,96.7,14,4,288,288
Bernhard Raimann,77948,T,IND,16,2,14,78.9,2,21,549,99.8,99.8,96.4,5,31,8,590,591,74.1,1,16,229,100.0,100.0,93.7,23,6,247,247
Jonah Savaiinaea,158742,G,MIA,17,0,17,14.1,5,32,549,100.0,100.0,95.2,2,45,8,579,579,0.0,2,28,182,100.0,100.0,88.5,36,6,188,188
Patrick Paul,101019,T,MIA,17,2,17,74.4,2,19,548,100.0,100.0,97.4,2,25,4,578,578,59.4,2,13,182,100.0,100.0,93.7,19,4,188,188
Spencer Brown,42296,T,BUF,16,0,4,61.7,5,33,546,100.0,100.0,96.0,3,41,3,578,578,55.6,3,21,250,100.0,100.0,94.0,27,3,269,269
Tyler Biadasz,41178,C,WAS,16,0,32,67.1,0,18,521,100.0,100.0,97.7,1,21,3,571,571,68.5,0,8,213,100.0,100.0,97.2,10,2,240,240
Tanor Bortolini,129915,C,IND,16,0,14,66.2,5,12,526,100.0,100.0,98.4,1,17,0,566,566,50.8,3,11,224,100.0,100.0,96.9,14,0,242,242
Paris Johnson Jr.,129749,T,ARZ,12,1,1,77.1,8,21,527,100.0,100.0,96.3,5,34,5,565,565,70.9,7,14,251,100.0,100.0,94.6,24,3,269,269
Patrick Mekari,46219,G,JAX,15,1,15,52.9,3,29,526,100.0,100.0,96.6,4,34,2,561,561,44.3,3,24,271,100.0,100.0,94.3,29,2,290,290
Ikem Ekwonu,98286,T,CAR,16,2,5,66.4,6,29,518,100.0,100.0,95.7,4,40,5,556,556,56.9,3,20,233,100.0,100.0,92.9,28,5,256,256
Dylan Parham,60953,G,LV,15,0,23,62.3,5,17,517,100.0,100.0,96.7,2,28,6,552,552,56.4,5,10,266,100.0,100.0,95.7,19,4,289,289
Taylor Decker,10650,T,DET,14,1,11,69.5,3,28,525,100.0,100.0,96.7,2,33,2,551,551,62.6,2,20,233,100.0,100.0,94.4,24,2,248,248
Aaron Brewer,46014,C,MIA,16,3,17,71.2,1,10,520,100.0,100.0,98.7,6,12,1,549,549,58.5,1,4,175,100.0,100.0,98.0,6,1,181,181
Charles Cross,98401,T,SEA,17,1,29,79.2,4,22,517,100.0,100.0,97.1,2,28,2,548,548,74.7,1,14,220,100.0,100.0,96.1,16,1,232,232
Cesar Ruiz,59857,G,NO,14,0,20,73.1,2,14,508,100.0,100.0,97.8,1,19,3,546,546,60.9,1,13,258,100.0,100.0,96.1,17,3,279,279
Warren McClendon Jr.,99081,T,LA,13,0,26,69.1,3,18,508,100.0,100.0,97.5,0,23,2,542,542,62.7,1,15,238,100.0,100.0,96.2,17,1,254,254
Isaiah Adams,158192,G,ARZ,14,1,1,65.6,0,21,506,100.0,100.0,97.5,2,23,2,539,539,61.0,0,16,259,100.0,100.0,96.5,17,1,280,280
Evan Brown,38709,G,ARZ,11,0,1,60.2,5,28,503,100.0,100.0,96.5,3,34,1,539,539,47.1,5,17,244,100.0,100.0,95.5,22,0,260,260
Tyler Linderbaum,82291,C,BLT,17,2,3,63.4,1,23,501,100.0,100.0,97.2,2,26,2,536,536,61.2,1,13,219,100.0,100.0,96.3,15,1,235,235
Roger Rosengarten,131912,T,BLT,17,1,3,73.4,4,21,501,100.0,100.0,96.9,2,28,3,536,536,73.3,2,15,219,100.0,100.0,95.2,19,2,235,235
Daniel Faalele,81734,G,BLT,17,2,3,60.1,3,23,500,100.0,100.0,96.6,2,30,4,535,535,50.8,1,18,219,100.0,100.0,93.8,23,4,235,235
Chris Paul,77579,G,WAS,16,0,32,78.2,2,13,485,100.0,100.0,98.0,1,17,2,535,535,68.0,2,10,187,100.0,100.0,96.3,13,1,211,211
Taliese Fuaga,131732,T,NO,13,2,20,66.2,5,19,494,100.0,100.0,96.8,4,28,4,530,530,63.7,2,12,234,100.0,100.0,95.3,18,4,253,253
Cam Jurgens,84014,C,PHI,15,1,24,62.1,1,10,491,100.0,100.0,98.9,3,11,0,522,522,62.6,1,7,244,100.0,100.0,98.4,8,0,260,260
Matthew Bergeron,99658,G,ATL,15,0,2,65.7,7,20,490,100.0,100.0,97.0,1,28,1,519,519,58.6,6,16,265,100.0,100.0,95.5,23,1,278,278
Ethan Pocic,11813,C,CLV,13,0,8,62.2,3,9,481,100.0,100.0,98.3,1,14,2,518,518,55.9,1,8,256,100.0,100.0,97.9,10,1,277,277
Graham Glasgow,10729,C,DET,14,0,11,61.3,8,10,495,100.0,100.0,98.0,1,19,1,517,517,42.1,5,6,211,100.0,100.0,96.9,12,1,222,222
Jawaan Taylor,41665,T,KC,12,3,16,67.3,5,12,479,100.0,100.0,97.6,8,20,3,517,517,58.6,4,9,178,100.0,100.0,94.7,16,3,203,203
Andrew Vorhees,60818,G,BLT,17,0,3,53.1,8,17,479,100.0,100.0,96.8,1,28,3,513,513,42.7,5,7,210,100.0,100.0,95.7,15,3,226,226
JC Latham,146596,T,TEN,13,1,31,68.0,1,24,482,100.0,100.0,95.7,5,33,8,511,511,66.1,1,17,238,100.0,100.0,93.7,24,6,247,247
Sean Rhyan,72009,C,GB,16,1,12,42.4,8,20,480,100.0,100.0,96.9,1,29,1,508,508,45.6,5,13,211,100.0,100.0,95.7,18,0,225,225
Jalen Sundell,91396,C,SEA,16,1,29,61.6,3,15,476,100.0,100.0,97.9,2,19,1,508,508,48.0,1,13,197,100.0,100.0,95.9,15,1,206,206
Landon Dickerson,41712,G,PHI,16,0,24,62.0,7,21,478,100.0,100.0,96.0,0,33,5,506,506,52.4,5,13,235,100.0,100.0,94.0,23,5,249,249
Isaac Seumalo,10713,G,PIT,15,0,25,76.4,4,12,476,100.0,100.0,97.5,0,20,4,504,504,57.8,4,11,188,100.0,100.0,93.9,19,4,203,203
Dalton Risner,47008,G,CIN,14,0,7,71.5,4,11,475,100.0,100.0,98.0,0,17,2,503,503,72.0,3,8,245,100.0,100.0,97.3,12,1,261,261
Laremy Tunsil,10647,T,WAS,14,2,32,88.9,2,11,444,100.0,100.0,98.1,4,15,2,490,490,84.7,0,9,189,100.0,100.0,97.1,10,1,213,213
Mekhi Becton,59818,G,LAC,15,1,27,47.8,7,29,470,100.0,100.0,95.5,2,39,3,489,489,37.4,3,24,226,100.0,100.0,92.7,30,3,239,239
Wyatt Teller,46131,G,CLV,13,0,8,53.1,1,20,451,100.0,100.0,97.0,2,24,3,488,488,49.4,1,14,240,100.0,100.0,95.6,18,3,260,260
Cooper Beebe,99434,C,DAL,11,0,9,63.7,3,12,442,100.0,100.0,98.1,0,16,1,484,484,56.4,2,4,194,100.0,100.0,97.9,7,1,218,218
Aaron Banks,59983,G,GB,15,0,12,54.2,3,24,460,100.0,100.0,96.6,2,29,2,484,484,44.8,3,17,203,100.0,100.0,94.1,22,2,213,213
Cade Mays,81995,C,CAR,14,0,5,67.6,4,9,443,100.0,100.0,98.5,0,13,0,476,476,49.8,4,6,200,100.0,100.0,97.5,10,0,221,221
Tristan Wirfs,64818,T,TB,12,1,30,84.9,4,17,441,99.8,99.8,97.2,2,23,2,474,475,79.9,3,14,208,100.0,100.0,95.9,17,0,227,227
Jordan Morgan,98652,G,GB,15,0,12,68.8,2,19,445,100.0,100.0,96.7,0,25,4,473,473,59.5,2,10,194,100.0,100.0,95.4,15,3,206,206
Cam Robinson,11789,T,CLV,14,4,8,56.2,11,21,443,100.0,100.0,94.6,6,40,8,472,472,46.2,8,18,245,100.0,100.0,91.8,33,7,264,264
Braden Smith,46794,T,IND,13,2,14,71.9,6,19,437,100.0,100.0,96.9,3,26,1,471,471,69.8,4,12,187,100.0,100.0,95.7,16,0,202,202
Donovan Jackson,145064,G,MIN,14,0,18,65.7,5,19,440,100.0,100.0,96.8,2,26,2,468,468,62.8,2,12,204,100.0,100.0,95.6,16,2,217,217
John Michael Schmitz Jr.,55238,C,NYG,13,0,21,60.9,1,12,431,100.0,100.0,98.3,1,14,1,466,466,51.5,0,9,192,100.0,100.0,97.1,10,1,212,212
Stone Forsythe,41795,T,LV,14,1,23,53.6,5,24,437,100.0,100.0,94.2,3,40,11,465,465,44.6,4,21,214,100.0,100.0,90.9,32,7,234,234
Michael Jordan,28021,G,TB,11,1,30,71.0,2,21,427,100.0,100.0,96.8,1,25,2,464,464,57.6,2,18,209,100.0,100.0,94.7,21,1,228,228
Trey Smith,62960,G,KC,12,0,16,75.1,2,13,427,100.0,100.0,98.0,0,16,1,459,459,64.9,2,9,158,100.0,100.0,95.9,12,1,178,178
Cole Strange,22976,G,MIA,14,0,17,42.2,3,16,435,100.0,100.0,97.4,1,21,2,457,457,34.1,1,11,138,100.0,100.0,94.2,14,2,142,142
Kelvin Beachum,7229,T,ARZ,14,0,1,54.6,3,40,428,100.0,100.0,93.8,1,48,5,451,451,48.0,3,31,214,100.0,100.0,91.1,36,2,226,226
Andrew Thomas,59701,T,NYG,13,1,21,87.2,2,10,415,100.0,100.0,98.3,2,13,1,448,448,80.9,0,7,189,100.0,100.0,98.1,7,0,206,206
Ronnie Stanley,10640,T,BLT,16,2,3,72.8,4,20,416,100.0,100.0,96.2,5,28,4,447,447,59.5,2,13,177,100.0,100.0,93.5,19,4,192,192
Brian O'Neill,46854,T,MIN,14,0,18,76.4,1,18,420,100.0,100.0,97.3,0,21,2,446,446,76.9,1,13,203,100.0,100.0,96.1,15,1,214,214
Luke Fortner,42028,C,NO,12,0,20,72.5,0,8,418,100.0,100.0,98.3,0,11,3,442,442,60.8,0,6,214,100.0,100.0,97.2,9,3,226,226
Jordan Meredith,60235,C,LV,11,2,23,48.5,2,14,410,100.0,100.0,97.1,3,20,4,439,439,41.3,1,12,213,100.0,100.0,95.1,17,4,234,234
Dillon Radunz,30551,G,NO,11,1,20,64.3,2,20,408,100.0,100.0,97.1,4,23,1,438,438,64.1,2,14,204,100.0,100.0,95.6,17,1,219,219
Trey Pipkins III,91462,T,LAC,12,0,27,60.7,3,23,396,100.0,100.0,95.7,2,30,4,421,421,48.9,3,17,177,100.0,100.0,92.7,23,3,197,197
Tyler Guyton,123076,T,DAL,10,0,9,50.0,6,23,384,100.0,100.0,95.7,3,31,2,418,418,40.0,4,16,165,100.0,100.0,92.7,22,2,187,187
Luke Goedeke,77548,T,TB,11,1,30,78.9,0,22,384,100.0,100.0,97.1,3,22,0,416,416,73.5,0,19,188,100.0,100.0,94.9,19,0,205,205
Austin Corbett,46290,G,CAR,13,0,5,56.2,1,12,393,100.0,100.0,97.6,1,16,3,415,415,40.5,1,12,192,100.0,100.0,95.6,15,2,208,208
KT Leveston,77487,T,CLV,13,1,8,43.3,9,18,392,100.0,99.8,95.0,4,33,6,413,414,42.7,7,14,220,100.0,99.6,93.9,24,3,231,232
Christian Mahogany,98261,G,DET,11,0,11,40.7,5,16,391,100.0,100.0,95.8,0,27,6,407,407,19.1,4,13,174,100.0,100.0,93.4,20,3,184,184
Alex Palczewski,59738,G,DEN,15,1,10,53.5,3,17,382,99.7,99.8,97.1,1,21,1,405,406,52.0,1,13,166,100.0,100.0,95.2,15,1,175,175
Larry Borom,59879,T,MIA,13,0,17,67.1,3,10,380,100.0,100.0,97.8,3,15,2,404,404,60.5,2,8,126,100.0,100.0,94.4,12,2,132,132
Dan Feeney,11826,G,TB,10,1,30,60.1,1,16,369,100.0,100.0,96.6,1,21,4,399,399,45.3,1,15,177,100.0,100.0,93.8,19,3,193,193
Blake Brandel,46282,C,MIN,14,1,18,67.6,6,10,370,100.0,100.0,97.0,3,19,3,395,395,55.7,6,7,183,100.0,100.0,95.4,15,2,197,197
Jonah Williams,41651,T,ARZ,9,0,1,53.5,5,13,364,100.0,100.0,96.4,2,22,4,391,391,43.1,5,10,161,100.0,100.0,92.9,19,4,176,176
Fred Johnson,46951,T,PHI,14,0,24,65.5,0,17,361,99.7,99.7,97.1,2,19,2,386,387,56.6,0,15,175,100.0,100.0,94.6,17,2,187,187
Ben Bredeson,27305,G,TB,11,0,30,77.0,0,19,356,100.0,100.0,97.1,0,20,1,384,384,72.4,0,15,165,100.0,100.0,94.8,16,1,181,181
Broderick Jones,124025,T,PIT,11,0,25,59.0,6,11,356,100.0,100.0,95.9,1,23,6,380,380,41.1,6,9,132,100.0,100.0,92.0,18,3,145,145
Ben Powers,41482,G,DEN,10,0,10,63.3,1,14,361,100.0,100.0,97.9,1,15,0,379,379,45.3,1,13,161,100.0,100.0,95.7,14,0,168,168
Josh Simmons,88924,T,KC,8,2,16,75.5,2,14,337,100.0,100.0,97.0,5,18,2,367,367,68.1,2,7,130,100.0,100.0,95.8,10,1,151,151
Justin Skule,38951,T,MIN,12,0,18,63.2,6,16,331,100.0,100.0,94.6,2,29,7,356,356,65.7,4,8,154,100.0,100.0,92.9,17,5,168,168
